workspace_slug,workspace_name,source,Primary
mba,MBA,Facebook,Meta
mba,MBA,flyer,BTL
mba,MBA,gdn,Meta
mba,MBA,GDN,Meta
mba,MBA,google,Meta
mba,MBA,Google,Meta
mba,MBA,Google Ads,Meta
mba,MBA,ig,Meta
mba,MBA,Inbound Call,Incomming calls
mba,MBA,Incoming call,Incomming calls
mba,MBA,Incoming Calls,Incomming calls
mba,MBA,Inhouse Social,Meta
mba,MBA,Inhouse Social Media,Meta
mba,MBA,itm,Invalid
mba,MBA,itmpartner100,Agents
mba,MBA,itmpartner117,Agents
mba,MBA,itmpartner121,Agents
mba,MBA,itmpartner143,Agents
mba,MBA,itmpartner51,Agents
mba,MBA,itmpartner66,Agents
mba,MBA,itmpartner74,Agents
mba,MBA,itmpartner77,Agents
mba,MBA,itmpartner78,Agents
mba,MBA,itmpartner85,Agents
mba,MBA,itmpartner86,Agents
mba,MBA,itmpartner96,Agents
mba,MBA,kollegeapply,Publisher
mba,MBA,Kollegeapply,Publisher
mba,MBA,lead nurturing,Invalid
mba,MBA,Lead Nurturing,Invalid
mba,MBA,letsupgrade,Data Base
mba,MBA,Not Mapped,Data Base
mba,MBA,Offline,Data Base
mba,MBA,Online,Organic
mba,MBA,organic,Organic
mba,MBA,Organic,Organic
mba,MBA,other,Invalid
mba,MBA,Others,Invalid
mba,MBA,Outbound Call,Invalid
mba,MBA,Partner 114,Agents
mba,MBA,Partner 131,Agents
mba,MBA,Partner 142,Agents
mba,MBA,Partner 150,Agents
mba,MBA,Partner 154,Agents
mba,MBA,Partner 164,Agents
mba,MBA,Partner 166,Agents
mba,MBA,Partner 167,Agents
mba,MBA,Partner 187,Agents
mba,MBA,Partner 189,Agents
mba,MBA,Partner 2,Agents
mba,MBA,Partner 23,Agents
mba,MBA,Partner 24,Agents
mba,MBA,Partner 28,Agents
mba,MBA,Partner 33,Agents
mba,MBA,Partner 34,Agents
mba,MBA,Partner 37,Agents
mba,MBA,Partner 4,Agents
mba,MBA,Partner 44,Agents
mba,MBA,Partner 49,Agents
mba,MBA,Partner 6,Agents
mba,MBA,Partner 7,Agents
mba,MBA,Partner 70,Agents
mba,MBA,Partner 75,Agents
mba,MBA,Partner 89,Agents
mba,MBA,partner10,Agents
mba,MBA,partner100,Agents
mba,MBA,partner114,Agents
mba,MBA,partner12,Agents
mba,MBA,partner121,Agents
mba,MBA,partner131,Agents
mba,MBA,partner137,Agents
mba,MBA,partner140,Agents
mba,MBA,partner142,Agents
mba,MBA,partner143,Agents
mba,MBA,partner150,Agents
mba,MBA,partner154,Agents
mba,MBA,partner157,Agents
mba,MBA,partner164,Agents
mba,MBA,partner166,Agents
mba,MBA,partner167,Agents
mba,MBA,partner174,Agents
mba,MBA,partner186,Agents
mba,MBA,partner187,Agents
mba,MBA,partner188,Agents
mba,MBA,partner189,Agents
mba,MBA,partner196,Agents
mba,MBA,partner2,Agents
mba,MBA,partner210,Agents
mba,MBA,partner222,Agents
mba,MBA,partner223,Agents
mba,MBA,partner225,Agents
mba,MBA,partner230,Agents
mba,MBA,partner24,Agents
mba,MBA,partner240,Agents
mba,MBA,partner241,Agents
mba,MBA,partner28,Agents
mba,MBA,partner30,Agents
mba,MBA,partner33,Agents
mba,MBA,partner34,Agents
mba,MBA,partner37,Agents
mba,MBA,partner4,Agents
mba,MBA,partner49,Agents
mba,MBA,partner51,Agents
mba,MBA,partner52,Agents
mba,MBA,partner54,Agents
mba,MBA,partner6,Agents
mba,MBA,partner66,Agents
mba,MBA,partner7,Agents
mba,MBA,partner70,Agents
mba,MBA,partner74,Agents
mba,MBA,partner77,Agents
mba,MBA,partner78,Agents
mba,MBA,partner82,Agents
mba,MBA,partner85,Agents
mba,MBA,partner86,Agents
mba,MBA,partner89,Agents
mba,MBA,partner96,Agents
mba,MBA,perplexity,Meta
mba,MBA,referral,Referral
mba,MBA,Referral,Referral
mba,MBA,remarketing,Meta
mba,MBA,Remarketing,Meta
mba,MBA,shiksha,Publisher
mba,MBA,Shiksha,Publisher
mba,MBA,social,Meta
mba,MBA,Social,Meta
mba,MBA,Telephony,Incomming calls
mba,MBA,Telephony Inbound,Incomming calls
mba,MBA,Telephony Outbound,Incomming calls
mba,MBA,test,Invalid
mba,MBA,Twigz,Publisher
mba,MBA,Twigz Network,Publisher
mba,MBA,twigznetwork,Publisher
mba,MBA,Visiting Card,BTL
mba,MBA,visitingCard,BTL
mba,MBA,wa,Walk - in
mba,MBA,Walk In,Walk - in
mba,MBA,Walk-in,Walk - in
mba,MBA,Walkin,Walk - in
mba,MBA,web,Organic
mba,MBA,Web,Organic
mba,MBA,Webinar USA SA,Organic
mba,MBA,website,Organic
mba,MBA,Website,Organic
mba,MBA,websitepyq,Organic
mba,MBA,whatsapp,Organic
mba,MBA,WhatsApp,Organic
mba,MBA,whatsappleadnurturing_medium=imba_1,Organic
mba,MBA,Widget,Organic
