workspace_slug,workspace_name,template_name,event_count
mba,MBA,referral_un5,4
mba,MBA,rem_14_1,1846
mba,MBA,rem_14_2,1705
mba,MBA,rem_14_3,1009
mba,MBA,rem_2,3073
mba,MBA,reminder_workshop_1,106
mba,MBA,retention_1,2858
mba,MBA,retention_11_msg2,1003
mba,MBA,retention_google_webinar_reminder,1006
mba,MBA,satsession_1,1555
mba,MBA,sneha_pagal_1,1964
mba,MBA,specialization_mba_,4
mba,MBA,srf_rem_1,10
mba,MBA,srf_reminder1,964
mba,MBA,srf_reminder2,977
mba,MBA,srf_utility_1,4
mba,MBA,studentfeedback,1134
mba,MBA,substage_followup1,228
mba,MBA,substage_followup2,869
mba,MBA,substage_followup3,761
mba,MBA,substage_followup4,694
mba,MBA,substage_followup5,578
mba,MBA,substage_interested,1014
mba,MBA,substage_nc1,5115
mba,MBA,substage_nc2,17571
mba,MBA,substage_nc3,16049
mba,MBA,substage_nc4,14493
mba,MBA,substage_nc5,13404
mba,MBA,substage_nc6,9879
mba,MBA,substage_nc7,8155
mba,MBA,substage_not_eligible,827
mba,MBA,substage_not_interested,8884
mba,MBA,template_01,355
mba,MBA,template_02,635
mba,MBA,template_1,1
mba,MBA,time_patna,4
mba,MBA,today_rem_1,1583
mba,MBA,today_rem_2,991
mba,MBA,today_rem_2_dvd,2291
mba,MBA,today_rem_3,428
mba,MBA,todays_final_rem3,1188
mba,MBA,todays_rem_1,963
mba,MBA,vibha_bilthare,3
mba,MBA,viral_mba_test,23
mba,MBA,walkin_followup2,20
mba,MBA,walkin_followup3,20
mba,MBA,walkin_nc1,27
mba,MBA,walkin_nc2,23
mba,MBA,walkin_nc3,2
mba,MBA,walkin_notelig1,2
mba,MBA,walkin_notint1,14
mba,MBA,walkin_un1,26
mba,MBA,walkin_un2,2
mba,MBA,whatsapp_mba_01,79
mba,MBA,whatsapp_mba_8,734
mba,MBA,whatsapp_mba_9,661
mba,MBA,workshop_1,29
mba,MBA,workshop_rem_2,8681
mba,MBA,workshop_rem3,2919
mba_ai,MBA AI,mba_ai_commonmsg18,41
