workspace,bucket,field_path,source_value
mba,crm_distinct_field,_source.source,partner12
mba,crm_distinct_field,_source.source,partner121
mba,crm_distinct_field,_source.source,partner131
mba,crm_distinct_field,_source.source,partner137
mba,crm_distinct_field,_source.source,partner140
mba,crm_distinct_field,_source.source,partner142
mba,crm_distinct_field,_source.source,partner143
mba,crm_distinct_field,_source.source,partner150
mba,crm_distinct_field,_source.source,partner154
mba,crm_distinct_field,_source.source,partner157
mba,crm_distinct_field,_source.source,partner164
mba,crm_distinct_field,_source.source,partner166
mba,crm_distinct_field,_source.source,partner167
mba,crm_distinct_field,_source.source,partner174
mba,crm_distinct_field,_source.source,partner186
mba,crm_distinct_field,_source.source,partner187
mba,crm_distinct_field,_source.source,partner188
mba,crm_distinct_field,_source.source,partner189
mba,crm_distinct_field,_source.source,partner196
mba,crm_distinct_field,_source.source,partner2
mba,crm_distinct_field,_source.source,partner210
mba,crm_distinct_field,_source.source,partner222
mba,crm_distinct_field,_source.source,partner223
mba,crm_distinct_field,_source.source,partner225
mba,crm_distinct_field,_source.source,partner230
mba,crm_distinct_field,_source.source,partner24
mba,crm_distinct_field,_source.source,partner240
mba,crm_distinct_field,_source.source,partner241
mba,crm_distinct_field,_source.source,partner28
mba,crm_distinct_field,_source.source,partner30
mba,crm_distinct_field,_source.source,partner33
mba,crm_distinct_field,_source.source,partner34
mba,crm_distinct_field,_source.source,partner37
mba,crm_distinct_field,_source.source,partner4
mba,crm_distinct_field,_source.source,partner49
mba,crm_distinct_field,_source.source,partner51
mba,crm_distinct_field,_source.source,partner52
mba,crm_distinct_field,_source.source,partner54
mba,crm_distinct_field,_source.source,partner6
mba,crm_distinct_field,_source.source,partner66
mba,crm_distinct_field,_source.source,partner7
mba,crm_distinct_field,_source.source,partner70
mba,crm_distinct_field,_source.source,partner74
mba,crm_distinct_field,_source.source,partner77
mba,crm_distinct_field,_source.source,partner78
mba,crm_distinct_field,_source.source,partner82
mba,crm_distinct_field,_source.source,partner85
mba,crm_distinct_field,_source.source,partner86
mba,crm_distinct_field,_source.source,partner89
mba,crm_distinct_field,_source.source,partner96
mba,crm_distinct_field,_source.source,perplexity
mba,crm_distinct_field,_source.source,referral
mba,crm_distinct_field,_source.source,remarketing
mba,crm_distinct_field,_source.source,shiksha
mba,crm_distinct_field,_source.source,social
mba,crm_distinct_field,_source.source,test
mba,crm_distinct_field,_source.source,twigznetwork
mba,crm_distinct_field,_source.source,visitingCard
mba,crm_distinct_field,_source.source,wa
mba,crm_distinct_field,_source.source,web
mba,crm_distinct_field,_source.source,website
mba,crm_distinct_field,_source.source,websitepyq
mba,crm_distinct_field,_source.source,whatsapp
mba,crm_distinct_field,_source.source,whatsappleadnurturing_medium=imba_1
mba,crm_distinct_field,source.utmSource,Agents
mba,crm_distinct_field,source.utmSource,BTL
mba,crm_distinct_field,source.utmSource,BTL MM
mba,crm_distinct_field,source.utmSource,Bing
mba,crm_distinct_field,source.utmSource,Blogs
mba,crm_distinct_field,source.utmSource,Calendly
mba,crm_distinct_field,source.utmSource,Careers360
mba,crm_distinct_field,source.utmSource,Chat
mba,crm_distinct_field,source.utmSource,Chatgpt
mba,crm_distinct_field,source.utmSource,Collegedunia
mba,crm_distinct_field,source.utmSource,Database
mba,crm_distinct_field,source.utmSource,Direct
mba,crm_distinct_field,source.utmSource,Facebook
mba,crm_distinct_field,source.utmSource,GDN
mba,crm_distinct_field,source.utmSource,Google Ads
mba,crm_distinct_field,source.utmSource,Inhouse Social
mba,crm_distinct_field,source.utmSource,Kollegeapply
mba,crm_distinct_field,source.utmSource,Lead Nurturing
mba,crm_distinct_field,source.utmSource,Not Mapped
mba,crm_distinct_field,source.utmSource,Organic
mba,crm_distinct_field,source.utmSource,Others
mba,crm_distinct_field,source.utmSource,Partner 114
mba,crm_distinct_field,source.utmSource,Partner 131
mba,crm_distinct_field,source.utmSource,Partner 142
mba,crm_distinct_field,source.utmSource,Partner 150
mba,crm_distinct_field,source.utmSource,Partner 154
mba,crm_distinct_field,source.utmSource,Partner 164
mba,crm_distinct_field,source.utmSource,Partner 166
mba,crm_distinct_field,source.utmSource,Partner 167
mba,crm_distinct_field,source.utmSource,Partner 187
mba,crm_distinct_field,source.utmSource,Partner 189
mba,crm_distinct_field,source.utmSource,Partner 2
mba,crm_distinct_field,source.utmSource,Partner 23
mba,crm_distinct_field,source.utmSource,Partner 24
mba,crm_distinct_field,source.utmSource,Partner 28
mba,crm_distinct_field,source.utmSource,Partner 33
mba,crm_distinct_field,source.utmSource,Partner 34
mba,crm_distinct_field,source.utmSource,Partner 37
mba,crm_distinct_field,source.utmSource,Partner 4
mba,crm_distinct_field,source.utmSource,Partner 44
mba,crm_distinct_field,source.utmSource,Partner 49
mba,crm_distinct_field,source.utmSource,Partner 6
mba,crm_distinct_field,source.utmSource,Partner 7
mba,crm_distinct_field,source.utmSource,Partner 70
mba,crm_distinct_field,source.utmSource,Partner 75
mba,crm_distinct_field,source.utmSource,Partner 89
mba,crm_distinct_field,source.utmSource,Referral
mba,crm_distinct_field,source.utmSource,Remarketing
mba,crm_distinct_field,source.utmSource,Shiksha
mba,crm_distinct_field,source.utmSource,Social
mba,crm_distinct_field,source.utmSource,Telephony Inbound
mba,crm_distinct_field,source.utmSource,Telephony Outbound
mba,crm_distinct_field,source.utmSource,Twigz Network
mba,crm_distinct_field,source.utmSource,Visiting Card
mba,crm_distinct_field,source.utmSource,Walk In
mba,crm_distinct_field,source.utmSource,Webinar USA SA
mba,crm_distinct_field,source.utmSource,Website
mba,crm_distinct_field,source.utmSource,WhatsApp
mba,crm_distinct_field,source.utmSource,itmpartner100
mba,crm_distinct_field,source.utmSource,itmpartner117
mba,crm_distinct_field,source.utmSource,itmpartner121
mba,crm_distinct_field,source.utmSource,itmpartner143
mba,crm_distinct_field,source.utmSource,itmpartner51
mba,crm_distinct_field,source.utmSource,itmpartner66
mba,crm_distinct_field,source.utmSource,itmpartner74
mba,crm_distinct_field,source.utmSource,itmpartner77
mba,crm_distinct_field,source.utmSource,itmpartner78
mba,crm_distinct_field,source.utmSource,itmpartner85
mba,crm_distinct_field,source.utmSource,itmpartner86
mba,crm_distinct_field,source.utmSource,itmpartner96
bba,crm_leadSourceExpr_aggregate,,fb
bba,crm_leadSourceExpr_aggregate,,perplexity
bba,crm_leadSourceExpr_aggregate,,websitepyq
