workspace_slug,workspace_name,source
ihm,IHM,Shiksha
ihm,IHM,social
ihm,IHM,Social
ihm,IHM,static
ihm,IHM,static-HM
ihm,IHM,Success Mart - Subhash Mate
ihm,IHM,Telephony
ihm,IHM,Telephony Inbound
ihm,IHM,Telephony Outbound
ihm,IHM,test
ihm,IHM,thankyoupage
ihm,IHM,tm51
ihm,IHM,Vivek Youtuber
ihm,IHM,wa
ihm,IHM,Walk In
ihm,IHM,walk-in
ihm,IHM,web
ihm,IHM,Web
ihm,IHM,Webinar USA SA
ihm,IHM,website
ihm,IHM,Website
ihm,IHM,websitepyq
ihm,IHM,whatsapp
ihm,IHM,WhatsApp
ihm,IHM,whatsappapplynow
mba,MBA,Adwords
mba,MBA,agents
mba,MBA,Agents
mba,MBA,API
mba,MBA,bing
mba,MBA,Bing
mba,MBA,blog
mba,MBA,Blog
mba,MBA,Blogs
mba,MBA,btl
mba,MBA,Btl
mba,MBA,BTL
mba,MBA,btl activity ihm nerul
mba,MBA,BTL Activity IHM Nerul
mba,MBA,btl activity ihm oshiwara
mba,MBA,BTL Activity IHM Oshiwara
mba,MBA,BTL MM
mba,MBA,btl rom
mba,MBA,BTL ROM
mba,MBA,btlmm
mba,MBA,Calendly
mba,MBA,careers360
mba,MBA,Careers360
mba,MBA,chat
mba,MBA,Chat
mba,MBA,Chatgpt
mba,MBA,chatgpt.com
mba,MBA,chatgpt.com?utm_source=web
mba,MBA,college_direct
mba,MBA,collegedunia
mba,MBA,Collegedunia
mba,MBA,database
mba,MBA,Database
mba,MBA,default_source
mba,MBA,direct
mba,MBA,Direct
mba,MBA,Direct Walk-in
mba,MBA,facebook
mba,MBA,Facebook
mba,MBA,flyer
mba,MBA,gdn
mba,MBA,GDN
mba,MBA,google
mba,MBA,Google
mba,MBA,Google Ads
mba,MBA,ig
mba,MBA,Inbound Call
mba,MBA,Incoming call
mba,MBA,Incoming Calls
mba,MBA,Inhouse Social
mba,MBA,Inhouse Social Media
mba,MBA,itm
mba,MBA,itmpartner100
mba,MBA,itmpartner117
mba,MBA,itmpartner121
mba,MBA,itmpartner143
mba,MBA,itmpartner51
mba,MBA,itmpartner66
mba,MBA,itmpartner74
mba,MBA,itmpartner77
mba,MBA,itmpartner78
mba,MBA,itmpartner85
mba,MBA,itmpartner86
mba,MBA,itmpartner96
mba,MBA,kollegeapply
mba,MBA,Kollegeapply
mba,MBA,lead nurturing
mba,MBA,Lead Nurturing
mba,MBA,letsupgrade
mba,MBA,Not Mapped
mba,MBA,Offline
mba,MBA,Online
mba,MBA,organic
mba,MBA,Organic
mba,MBA,other
mba,MBA,Others
mba,MBA,Outbound Call
mba,MBA,Partner 114
mba,MBA,Partner 131
mba,MBA,Partner 142
mba,MBA,Partner 150
mba,MBA,Partner 154
mba,MBA,Partner 164
mba,MBA,Partner 166
mba,MBA,Partner 167
mba,MBA,Partner 187
mba,MBA,Partner 189
mba,MBA,Partner 2
mba,MBA,Partner 23
mba,MBA,Partner 24
mba,MBA,Partner 28
mba,MBA,Partner 33
mba,MBA,Partner 34
mba,MBA,Partner 37
mba,MBA,Partner 4
mba,MBA,Partner 44
mba,MBA,Partner 49
mba,MBA,Partner 6
mba,MBA,Partner 7
mba,MBA,Partner 70
mba,MBA,Partner 75
mba,MBA,Partner 89
mba,MBA,partner10
mba,MBA,partner100
mba,MBA,partner114
mba,MBA,partner12
mba,MBA,partner121
mba,MBA,partner131
mba,MBA,partner137
mba,MBA,partner140
mba,MBA,partner142
mba,MBA,partner143
mba,MBA,partner150
mba,MBA,partner154
mba,MBA,partner157
mba,MBA,partner164
mba,MBA,partner166
mba,MBA,partner167
mba,MBA,partner174
mba,MBA,partner186
mba,MBA,partner187
mba,MBA,partner188
mba,MBA,partner189
mba,MBA,partner196
mba,MBA,partner2
mba,MBA,partner210
mba,MBA,partner222
mba,MBA,partner223
mba,MBA,partner225
mba,MBA,partner230
mba,MBA,partner24
mba,MBA,partner240
mba,MBA,partner241
mba,MBA,partner28
mba,MBA,partner30
mba,MBA,partner33
mba,MBA,partner34
mba,MBA,partner37
mba,MBA,partner4
mba,MBA,partner49
mba,MBA,partner51
mba,MBA,partner52
mba,MBA,partner54
mba,MBA,partner6
mba,MBA,partner66
mba,MBA,partner7
mba,MBA,partner70
mba,MBA,partner74
mba,MBA,partner77
mba,MBA,partner78
mba,MBA,partner82
mba,MBA,partner85
mba,MBA,partner86
mba,MBA,partner89
mba,MBA,partner96
mba,MBA,perplexity
mba,MBA,referral
mba,MBA,Referral
mba,MBA,remarketing
mba,MBA,Remarketing
mba,MBA,shiksha
mba,MBA,Shiksha
mba,MBA,social
mba,MBA,Social
mba,MBA,Telephony
mba,MBA,Telephony Inbound
mba,MBA,Telephony Outbound
mba,MBA,test
mba,MBA,Twigz
mba,MBA,Twigz Network
mba,MBA,twigznetwork
mba,MBA,Visiting Card
mba,MBA,visitingCard
mba,MBA,wa
mba,MBA,Walk In
mba,MBA,Walk-in
mba,MBA,Walkin
mba,MBA,web
mba,MBA,Web
mba,MBA,Webinar USA SA
mba,MBA,website
mba,MBA,Website
mba,MBA,websitepyq
mba,MBA,whatsapp
mba,MBA,WhatsApp
mba,MBA,whatsappleadnurturing_medium=imba_1
mba,MBA,Widget
